Name,Team,Type,ValueinCR,Full Name,Age,National Side,Batting Style,Bowling,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc,Captaincy
Ravi Bishnoi,LSG,Bowler ,4,Ravi Bishnoi,"21 Years, 6 Months, 10 Days",India,Right Handed,Leg break googly,23,4,2,8,6* v SRH,0,0,1,0,4,50,4,0,1,0,23,87,1,606,24,3/24 v SRH,3,0,25.25,6.96,21.75,23,0
Anrich Nortje,DC,Bowler ,6.5,Anrich Arno Nortje,"28 Years, 4 Months, -1 Days",South Africa,Right Handed,Right-arm fast,24,5,4,7,3* v PBKS,0,0,0,0,7,116.66,5,0,2,0,24,91.2,1,699,34,3/33 v KKR,2,0,20.55,7.65,16.11,24,0
Chris Jordan,CSK,All-Rounder ,3.6,Christopher James Jordan,"33 Years, 5 Months, 11 Days",England,Right Handed,Right-arm fast medium,24,9,2,64,30 v KKR,0,0,3,3,9.14,112.28,9,0,2,2,24,76.3,0,698,25,4/11 v GL,2,0,27.92,9.12,18.36,24,0
Khaleel Ahmed,DC,Bowler ,5.25,Khaleel Khursheed Ahmed,"24 Years, 3 Months, 10 Days",India,Right Handed,Left-arm medium,24,3,0,1,1 v MI,0,0,0,0,0.33,20,1,0,2,1,24,90.3,0,786,32,3/21 v PBKS,6,0,24.56,8.68,16.96,24,0
Krishnappa Gowtham,LSG,All-Rounder ,0.9,Krishnappa Gowtham,"33 Years, 4 Months, 26 Days",India,Right Handed,Off break,24,19,6,186,33* v MI,0,0,13,12,14.3,169.09,10,0,2,1,24,68,0,562,13,2/12 v PBKS,0,0,43.23,8.26,31.38,24,0
Shivam Dube,CSK,All-Rounder ,4,Shivam Dube,"28 Years, 8 Months, 19 Days",India,Left Handed,Right-arm medium,24,22,4,399,64* v CSK,0,1,24,22,22.16,120.54,5,0,0,1,11,15.4,0,130,4,2/15 v SRH,0,0,32.5,8.29,23.5,11,0
T Natarajan,SRH,Bowler ,4,Thangarasu Natarajan,"30 Years, 9 Months, 20 Days",India,Left Handed,Left-arm medium,24,4,4,3,3* v RCB,0,0,0,0,,60,3,0,3,0,24,83.3,1,688,20,2/24 v PBKS,0,0,34.4,8.23,25.05,24,0
Avesh Khan,LSG,Bowler ,10,Avesh Khan,"25 Years, 3 Months, 2 Days",India,Right Handed,Right-arm medium fast,25,2,1,9,5 v KKR,0,0,2,0,9,150,5,0,0,1,25,91,0,749,29,3/13 v KKR,4,0,25.82,8.23,18.82,25,0
Jason Holder,LSG,All-Rounder ,8.75,Jason Omar Holder,"30 Years, 4 Months, 11 Days",West Indies,Right Handed,Right-arm medium fast,26,16,3,189,47* v PBKS,0,0,11,11,14.53,121.15,7,0,1,2,26,95.5,0,786,35,4/52 v MI,5,0,22.45,8.2,16.42,26,0
Rishi Dhawan,PBKS,All-Rounder ,0.55,Rishi Dhawan,"32 Years, 0 Months, 24 Days",India,Right Handed,Right-arm medium fast,26,17,10,153,25* v CSK,0,0,13,4,21.85,113.33,6,0,2,1,25,81.2,1,640,18,2/14 v RCB,0,0,35.55,7.86,27.11,25,0
Shivam Mavi,KKR,All-Rounder ,7.25,Shivam Pankaj Mavi,"23 Years, 3 Months, 19 Days",India,Right Handed,Right-arm fast medium,26,9,2,48,20 v CSK,0,0,4,2,6.85,97.95,12,0,3,0,26,86.1,2,715,25,4/21 v RR,0,0,28.6,8.29,20.68,26,0
Jonny Bairstow,PBKS,Wicket-Keeper ,6.75,Jonathan Marc Bairstow,"32 Years, 5 Months, 19 Days",England,Right Handed,Right-arm medium,28,28,3,1038,114 v RCB,1,7,99,46,41.52,142.19,18,4,2,0,,,,,,,,,,,,,0
Navdeep Saini,RR,Bowler ,2.6,Navdeep Amarjeet Saini,"29 Years, 3 Months, 22 Days",India,Right Handed,Right-arm fast,28,6,3,31,12* v DC,0,0,3,0,10.33,88.57,6,0,1,0,28,97.4,1,828,17,2/24 v DC,0,0,48.7,8.47,34.47,28,0
Ankit Rajpoot,LSG,Bowler ,0.5,Ankit Singh Rajpoot,"28 Years, 3 Months, 11 Days",India,Right Handed,Right-arm fast,29,7,2,26,8 v SRH,0,0,2,1,5.2,63.41,4,0,0,1,29,88.1,1,814,24,5/14 v SRH,1,1,33.91,9.23,22.04,29,0
Devdutt Padikkal,RR,Batsman ,7.75,Devdutt Babunu Padikkal,"21 Years, 8 Months, 8 Days",India,Left Handed,Off break,29,29,1,884,101* v RR,1,6,95,22,31.57,125.03,15,0,2,1,,,,,,,,,,,,,0
Riyan Parag,RR,All-Rounder ,3.8,Riyan Parag,"20 Years, 4 Months, 5 Days",India,Right Handed,Leg break,30,23,3,339,50 v DC,0,1,29,12,16.95,118.53,12,0,3,2,15,22.1,0,221,3,1/7 v PBKS,0,0,73.66,9.96,44.33,15,0
Shimron Hetmyer,RR,Batsman ,8.5,Shimron Odilon Hetmyer,"25 Years, 2 Months, 20 Days",West Indies,Left Handed,,31,29,9,517,75 v SRH,0,2,34,31,25.85,151.17,14,0,3,2,,,,,,,,,,,,,0
Varun Chakravarthy,KKR,Bowler ,8,Varun Chakravarthy Vinod,"30 Years, 6 Months, 18 Days",India,Right Handed,Leg break googly,31,6,3,12,7* v RCB,0,0,0,0,4,63.15,4,0,2,2,31,123,0,839,36,5/20 v DC,1,1,23.3,6.82,20.5,31,0
Nicholas Pooran,SRH,Wicket-Keeper ,10.75,Nicholas Pooran,"26 Years, 5 Months, 14 Days",West Indies,Left Handed,,33,31,4,606,77 v SRH,0,2,35,44,22.44,154.98,11,0,5,1,,,,,,,,,,,,,0
Moeen Ali,CSK,All-Rounder ,8,Moeen Munir Ali,"34 Years, 8 Months, 28 Days",England,Left Handed,Off break,34,32,3,666,66 v KKR,0,4,52,42,22.96,146.37,11,0,4,3,27,68.3,0,469,16,3/7 v RR,1,0,29.31,6.84,25.68,27,0
Murugan Ashwin,MI,Bowler ,1.6,Murugan Ashwin,"31 Years, 6 Months, 7 Days",India,Right Handed,Leg break googly,34,8,2,23,9 v SRH,0,0,1,0,3.83,63.88,7,0,1,1,34,112,0,881,26,3/21 v RCB,2,0,33.88,7.86,25.84,34,0
Prasidh Krishna,RR,Bowler ,10,Muralikrishna Prasidh Krishna,"26 Years, 0 Months, 25 Days",India,Right Handed,Right-arm medium fast,34,7,5,3,2* v RCB,0,0,0,0,1.5,25,7,0,5,1,34,124.2,0,1152,30,4/30 v SRH,2,0,38.4,9.26,24.86,34,0
Jofra Archer,MI,All-Rounder ,8,Jofra Chioke Archer,"26 Years, 11 Months, 15 Days",England,Right Handed,Right-arm fast,35,23,10,195,27* v CSK,0,0,11,14,15,157.25,9,0,5,1,35,137.3,2,981,46,3/15 v PBKS,6,0,21.32,7.13,17.93,35,0
Pat Cummins,KKR,All-Rounder ,7.25,Patrick James Cummins,"28 Years, 10 Months, 7 Days",Australia,Right Handed,Right-arm fast,37,26,10,316,66* v CSK,0,2,19,20,19.75,140.44,7,0,4,0,37,139,1,1145,38,4/34 v RR,2,0,30.13,8.23,21.94,37,0
Mustafizur Rahman,DC,Bowler ,2,Mustafizur Rahman,"26 Years, 6 Months, 10 Days",Bangladesh,Left Handed,Left-arm fast medium,38,7,6,9,8* v MI,0,0,0,1,9,52.94,5,0,5,0,38,143,1,1121,38,3/16 v MI,3,0,29.5,7.83,22.57,38,0
Nathan Coulter-Nile,RR,Bowler ,2,Nathan Mitchell Coulter-Nile,"34 Years, 5 Months, 5 Days",Australia,Right Handed,Right-arm fast,38,16,5,81,24* v PBKS,0,0,7,4,7.36,115.71,12,0,1,1,37,139.5,1,1052,48,4/14 v RR,5,0,21.91,7.52,17.47,37,0
Pradeep Sangwan,GT,All-Rounder ,0.2,Pradeep Jaibeer Sangwan,"31 Years, 4 Months, 10 Days",India,Right Handed,Left-arm medium,39,14,7,24,6* v MI,0,0,1,0,3.42,61.53,6,0,6,1,39,133.4,1,1175,35,3/18 v DCH,3,0,33.57,8.79,22.91,39,0
Sarfaraz Khan,DC,All-Rounder ,0.2,Sarfaraz Naushad Khan,"24 Years, 4 Months, 24 Days",India,Right Handed,Leg break,40,28,9,441,67 v CSK,0,1,50,11,23.21,138.24,6,0,4,1,1,0.2,0,6,0,0/6 v RCB,0,0,,18,,1,0
Gurkeerat Singh Mann,GT,All-Rounder ,0.5,Gurkeerat Rupinder Singh,"31 Years, 8 Months, 16 Days",India,Right Handed,Off break,41,32,8,511,65 v SRH,0,2,55,11,21.29,121.09,19,1,4,1,6,13,0,97,5,2/15 v RPS,0,0,19.4,7.46,15.6,6,0
Rahul Chahar,PBKS,Bowler ,5.25,Rahul Desraj Chahar,"22 Years, 7 Months, 12 Days",India,Right Handed,Leg break googly,42,11,4,31,10 v SRH,0,0,3,0,4.42,96.87,11,0,4,1,41,150,0,1117,43,4/27 v KKR,3,0,25.97,7.44,20.93,41,0
Washington Sundar,SRH,All-Rounder ,8.75,Washington Sundar,"22 Years, 5 Months, 11 Days",India,Left Handed,Off break,42,26,10,217,35 v RR,0,0,17,6,13.56,111.28,9,0,4,0,41,125,1,867,27,3/16 v MI,2,0,32.11,6.93,27.77,41,0
Tim Southee,KKR,Bowler ,1.5,Timothy Grant Southee,"33 Years, 3 Months, 4 Days",New Zealand,Right Handed,Right-arm medium fast,43,15,6,118,36* v CSK,0,0,8,4,13.11,124.21,19,0,1,3,43,160,2,1388,31,3/24 v SRH,2,0,44.77,8.67,30.96,43,0
Kuldeep Yadav,DC,Bowler ,2,Kuldeep Yadav,"27 Years, 3 Months, 1 Days",India,Left Handed,Slow left-arm chinaman,45,11,5,57,16 v MI,0,0,5,0,9.5,76,11,0,3,3,43,149.2,0,1236,40,4/20 v RR,2,0,30.9,8.27,22.4,43,0
Vijay Shankar,GT,All-Rounder ,1.4,Vijay Shankar,"31 Years, 1 Months, 18 Days",India,Right Handed,Right-arm medium,47,39,12,712,63* v GL,0,3,45,28,26.37,126.24,21,0,3,1,20,38.1,0,329,9,2/19 v MI,0,0,36.55,8.62,25.44,20,0
Shreyas Gopal,SRH,Bowler ,0.75,Shreyas Gopal,"28 Years, 6 Months, 11 Days",India,Right Handed,Leg break,48,21,7,171,24 v PBKS,0,0,17,2,12.21,105.55,11,0,4,2,47,155.1,1,1247,48,4/16 v RCB,4,0,25.97,8.03,19.39,47,0
Kagiso Rabada,PBKS,Bowler ,9.25,Kagiso Rabada,"26 Years, 9 Months, 22 Days",South Africa,Left Handed,Right-arm fast,50,18,8,138,44 v MI,0,0,11,4,13.8,102.98,23,0,5,2,50,190,2,1560,76,4/21 v RCB,4,0,20.52,8.21,15,50,0
Mohammed Siraj,RCB,Bowler ,7,Mohammed Siraj,"28 Years, 0 Months, 2 Days",India,Right Handed,Right-arm medium fast,50,15,10,66,14 v RR,0,0,5,2,13.2,86.84,16,0,5,1,50,171.2,4,1437,50,4/32 v GL,3,0,28.74,8.38,20.56,50,0
Varun Aaron,GT,Bowler ,0.5,Varun Raymond Aaron,"32 Years, 4 Months, 17 Days",India,Right Handed,Right-arm fast,50,13,8,50,17* v PBKS,0,0,2,2,10,69.44,3,0,5,2,48,160.4,2,1429,42,3/16 v KKR,1,0,34.02,8.89,22.95,48,0
Manan Vohra,LSG,Batsman ,0.2,Manan Vohra,"28 Years, 7 Months, 28 Days",India,Right Handed,Right-arm medium,53,49,2,1054,95 v SRH,0,3,102,41,22.42,130.6,13,0,3,4,,,,,,,,,,,,,0
Prithvi Shaw,DC,Batsman ,7.5,Prithvi Pankaj Shaw,"22 Years, 4 Months, 7 Days",India,Right Handed,Off break,53,53,0,1305,99 v KKR,0,10,155,45,24.62,146.3,11,0,4,3,,,,,,,,,,,,,0
Siddarth Kaul,RCB,Bowler ,0.75,Siddarth Kaul,"31 Years, 9 Months, 27 Days",India,Right Handed,Right-arm medium,54,12,8,20,7* v KKR,0,0,1,0,5,55.55,8,0,6,2,54,197.3,3,1696,58,4/29 v RPS,3,0,29.24,8.58,20.43,54,0
Marcus Stoinis,LSG,All-Rounder ,9.2,Marcus Peter Stoinis,"32 Years, 7 Months, -1 Days",Australia,Right Handed,Right-arm medium,56,49,16,914,65 v MI,0,4,76,35,27.69,135.81,12,0,5,2,45,102,0,969,30,4/15 v MI,2,0,32.3,9.5,20.4,45,0
Shubman Gill,GT,Batsman ,8,Shubman Gill,"22 Years, 6 Months, 8 Days",India,Right Handed,Off break,58,55,10,1417,76 v MI,0,10,137,36,31.48,123,23,0,2,6,,,,,,,,,,,,,0
Ishan Kishan,MI,Wicket-Keeper ,15.25,Ishan Pranav Kumar Pandey Kishan,"23 Years, 7 Months, 28 Days",India,Left Handed,Left-arm medium,61,56,5,1452,99 v RCB,0,9,121,74,28.47,136.33,19,2,5,5,,,,,,,,,,,,,0
Shardul Thakur,DC,Bowler ,10.75,Shardul Narendra Thakur,"30 Years, 5 Months, 0 Days",India,Right Handed,Right-arm medium fast,61,14,6,53,15* v SRH,0,0,5,1,6.62,112.76,17,0,5,2,60,210,2,1867,67,3/19 v PBKS,5,0,27.86,8.89,18.8,60,0
Rahul Tripathi,SRH,Batsman ,8.5,Rahul Ajay Tripathi,"31 Years, 0 Months, 14 Days",India,Right Handed,Right-arm medium,62,60,7,1385,93 v KKR,0,7,136,48,26.13,136.31,23,0,1,4,1,1,0,12,0,0/12 v KKR,0,0,,12,,1,0
Trent Boult,RR,Bowler ,8,Trent Alexander Boult,"32 Years, 7 Months, 24 Days",New Zealand,Right Handed,Left-arm fast medium,62,10,7,13,6 v CSK,0,0,0,1,4.33,68.42,23,0,6,0,62,236.1,5,1983,76,4/18 v CSK,5,0,26.09,8.39,18.64,62,0
Deepak Chahar,CSK,Bowler ,14,Deepak Lokandersingh Chahar,"29 Years, 7 Months, 8 Days",India,Right Handed,Right-arm medium,63,12,5,79,39 v PBKS,0,0,2,6,11.28,138.59,12,0,4,0,63,220.4,6,1722,59,4/13 v PBKS,3,0,29.18,7.8,22.44,63,0
Harshal Patel,RCB,All-Rounder ,10.75,Harshal Vikram Patel,"31 Years, 3 Months, 22 Days",India,Right Handed,Right-arm medium,63,28,11,187,36* v CSK,0,0,11,11,11,134.53,15,0,9,3,61,210.4,0,1808,78,5/27 v MI,6,1,23.17,8.58,16.2,61,0
Kane Williamson,SRH,Batsman ,14,Kane Stuart Williamson,"31 Years, 7 Months, 7 Days",New Zealand,Right Handed,Off break,63,62,15,1885,89 v DC,0,17,165,56,40.1,131.26,29,0,1,3,2,3,0,31,0,0/7 v KKR,0,0,,10.33,,2,1
Jos Buttler,RR,Wicket-Keeper ,10,Joseph Charles Buttler,"31 Years, 6 Months, 7 Days",England,Right Handed,,65,64,8,1968,124 v SRH,1,11,194,90,35.14,150,34,1,1,3,,,,,,,,,,,,,0
Karn Sharma,RCB,Bowler ,0.5,Karn Vinod Sharma,"34 Years, 4 Months, 24 Days",India,Left Handed,Leg break googly,68,35,14,317,39* v CSK,0,0,18,14,15.09,115.69,14,0,2,3,66,203.4,1,1610,59,4/16 v KKR,2,0,27.28,7.9,20.71,66,0
Shahbaz Nadeem,LSG,Bowler ,0.5,Shahbaz Nadeem,"32 Years, 7 Months, 3 Days",India,Right Handed,Slow left-arm orthodox,72,22,8,39,6 v PWI,0,0,2,0,2.78,44.82,16,0,9,2,70,235.5,2,1784,48,3/16 v DCH,1,0,37.16,7.56,29.47,70,0
Karun Nair,RR,Batsman ,1.4,Karun Kaladharan Nair,"30 Years, 3 Months, 10 Days",India,Right Handed,Off break,73,66,5,1480,83* v SRH,0,10,160,39,24.26,128.36,22,0,3,1,,,,,,,,,,,,,0
Rashid Khan,GT,Bowler ,15,Rashid Khan Arman,"23 Years, 5 Months, 25 Days",Afghanistan,Right Handed,Leg break googly,76,35,11,222,34* v KKR,0,0,17,13,9.25,137.03,20,0,11,2,76,302,4,1912,93,3/7 v DC,10,0,20.55,6.33,19.48,76,0
Mohammed Shami,GT,Bowler ,6.25,Mohammed Shami Ahmed,"31 Years, 6 Months, 12 Days",India,Right Handed,Right-arm fast,77,23,12,69,21 v RCB,0,0,5,2,6.27,94.52,11,0,7,2,77,278.2,1,2402,79,3/15 v DC,6,0,30.4,8.62,21.13,77,0
Nitish Rana,KKR,All-Rounder ,8,Nitish Rana,"28 Years, 2 Months, 19 Days",India,Left Handed,Off break,77,71,7,1820,87 v CSK,0,13,161,89,28.43,132.46,15,0,6,3,16,19.1,0,154,7,2/11 v RCB,0,0,22,8.03,16.42,16,0
Quinton de Kock,LSG,Wicket-Keeper ,6.75,Quinton de Kock,"29 Years, 2 Months, 29 Days",South Africa,Left Handed,,77,77,5,2256,108 v RCB,1,16,230,83,31.33,130.93,53,14,3,3,,,,,,,,,,,,,0
Deepak Hooda,LSG,All-Rounder ,5.75,Deepak Jagbir Hooda,"26 Years, 10 Months, 27 Days",India,Right Handed,Off break,80,61,14,785,64 v RR,0,3,41,38,16.7,129.53,32,0,3,7,28,54.1,0,458,9,2/16 v KKR,0,0,50.88,8.45,36.11,28,0
Andre Russell,KKR,All-Rounder ,12,Andre Dwayne Russell,"33 Years, 10 Months, 16 Days",West Indies,Right Handed,Right-arm fast,84,70,12,1700,88* v CSK,0,9,119,143,29.31,178.57,25,0,3,5,76,210.1,0,1901,72,5/15 v MI,6,1,26.4,9.04,17.51,76,0
Krunal Pandya,LSG,All-Rounder ,8.25,Krunal Himashu Pandya,"30 Years, 11 Months, 23 Days",India,Left Handed,Slow left-arm orthodox,84,72,22,1143,86 v DC,0,1,105,46,22.86,138.54,28,0,6,4,81,240.4,0,1773,51,3/14 v GL,4,0,34.76,7.36,28.31,81,0
Rishabh Pant,DC,Wicket-Keeper ,16,Rishabh Rajendra Pant,"24 Years, 5 Months, 11 Days",India,Left Handed,,84,84,13,2498,128* v SRH,1,15,225,113,35.18,147.46,56,14,4,6,,,,,,,,,,,,,1
Jaydev Unadkat,MI,Bowler ,1.3,Jaydev Dipakbhai Unadkat,"30 Years, 4 Months, 29 Days",India,Right Handed,Left-arm medium,86,21,12,105,26 v KKR,0,0,9,3,11.66,109.37,24,0,8,1,85,296,3,2588,85,5/25 v DC,5,2,30.44,8.74,20.89,85,0
Shreyas Iyer,KKR,Batsman ,12.25,Shreyas Santosh Iyer,"27 Years, 3 Months, 9 Days",India,Right Handed,Leg break googly,87,87,12,2375,96 v GL,0,16,196,88,31.66,123.95,34,0,6,4,,,,,,,,,,,,,1
David Miller,GT,Batsman ,3,David Andrew Miller,"32 Years, 9 Months, 5 Days",South Africa,Left Handed,Off break,89,86,26,1974,101* v RCB,1,10,137,90,32.9,136.51,53,0,3,3,,,,,,,,,,,,,0
Hardik Pandya,GT,All-Rounder ,15,Hardik Himanshu Pandya,"28 Years, 5 Months, 4 Days",India,Right Handed,Right-arm medium fast,92,85,31,1476,91 v KKR,0,4,97,98,27.33,153.91,53,0,5,1,60,144.5,0,1313,42,3/20 v CSK,3,0,31.26,9.06,20.69,60,0
KL Rahul,LSG,Wicket-Keeper ,17,Kannaur Lokesh Rahul,"29 Years, 10 Months, 27 Days",India,Right Handed,,94,85,16,3273,132* v RCB,2,27,282,134,47.43,136.37,50,5,2,2,,,,,,,,,,,,,1
Glenn Maxwell,RCB,All-Rounder ,11,Glenn James Maxwell,"33 Years, 5 Months, 1 Days",Australia,Right Handed,Off break,97,93,13,2018,95 v CSK,0,12,166,112,25.22,151.84,35,0,12,4,56,107,0,915,22,2/15 v RCB,0,0,41.59,8.55,29.18,56,1
Sandeep Sharma,PBKS,Bowler ,0.5,Sandeep Sharma,"28 Years, 9 Months, 28 Days",India,Right Handed,Right-arm medium,99,25,19,52,9 v RCB,0,0,4,0,8.66,81.25,12,0,9,1,99,366.2,8,2849,112,4/20 v DC,9,0,25.43,7.77,19.62,99,0
Faf du Plessis,RCB,Batsman ,7,Francois du Plessis,"37 Years, 8 Months, 2 Days",South Africa,Right Handed,Leg break,100,93,9,2935,96 v PBKS,0,22,265,96,34.94,131.08,66,0,5,9,1,1,0,16,0,0/16 v DCH,0,0,,16,,1,0
Mayank Agarwal,PBKS,Batsman ,12,Mayank Anurag Agarwal,"31 Years, 0 Months, 28 Days",India,Right Handed,Off break,100,95,4,2131,106 v RR,1,11,203,85,23.41,135.47,40,0,6,4,,,,,,,,,,,,,0
