ValueinCR
1.1
0.5
15.0
2.4
3.6
8.0
11.5
0.55
4.2
10.75
10.75
0.2
5.0
1.4
4.0
0.65
8.75
4.4
0.9
0.2
1.0
7.25
2.6
8.0
6.5
8.75
0.2
8.0
6.0
1.9
3.8
0.2
1.0
3.8
12.0
6.5
9.0
