MatchPlayed,InningsBatted,RunsScored,100s,50s,BattingAVG,BattingS/R,CatchesTaken,Captaincy
154,143,3560.0,1,21,30.68,121.83,75.0,0
31,29,517.0,0,2,25.85,151.17,14.0,0
53,53,1305.0,0,10,24.62,146.3,11.0,0
1,1,16.0,0,0,16.0,114.28,0.0,0
100,93,2935.0,0,22,34.94,131.08,66.0,0
13,13,329.0,0,2,29.9,129.02,8.0,0
105,92,1674.0,0,6,22.02,124.09,37.0,0
87,87,2375.0,0,16,31.66,123.95,34.0,1
19,15,205.0,0,1,14.64,110.81,6.0,0
