MatchPlayed,InningsBatted,RunsScored,100s,50s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Captaincy
3,3,26.0,0,0,13.0,78.78,1.0,0.0,0
28,28,1038.0,1,7,41.52,142.19,18.0,4.0,0
5,2,33.0,0,0,16.5,113.79,0.0,0.0,0
77,77,2256.0,1,16,31.33,130.93,53.0,14.0,0
33,31,606.0,0,2,22.44,154.98,11.0,0.0,0
1,1,2.0,0,0,2.0,50.0,0.0,0.0,0
65,64,1968.0,1,11,35.14,150.0,34.0,1.0,0
