ValueinCR
0.3
4.0
0.2
1.6
0.5
1.5
7.5
4.0
2.0
8.0
2.4
12.0
6.5
0.75
1.0
15.0
14.0
0.5
4.2
1.9
4.0
0.3
6.25
0.5
0.25
2.0
0.65
0.5
9.25
10.0
10.0
0.75
0.2
2.0
6.5
0.75
0.2
0.5
5.25
10.0
